id,title,priority,status,assignee,created_at,category,sla_met
ID-0001,Odio curso possimus aggredior alias astrum eaque.,P3,active,Dr. Adolfo Ortiz,2026-05-10,access,false
ID-0002,Maiores somnus spoliatio vicinus vulnus suppellex.,P3,pending,Stacy Ernser,2026-05-11,network,false
ID-0003,Tempora temporibus coma cunctatio.,P3,closed,Ellsworth Runolfsson,2026-05-12,software,true
ID-0004,Suspendo necessitatibus beatae desparatus color cursus similique tamdiu.,P3,active,Pauline Hilpert,2026-05-13,billing,true
ID-0005,Cotidie confido advenio depereo amitto carpo comes tolero utique cognatus.,P4,closed,Morris Parker,2023-01-02,network,false
ID-0006,Color thorax universe.,P2,closed,Nathanael West,2025-02-24,access,false
ID-0007,Spiritus casus uterque asporto adnuo sunt demonstro ulciscor.,P3,open,Colin Langosh,2022-10-07,policy,false
ID-0008,Amiculum tumultus speciosus subiungo conventus utroque surgo amplexus.,P3,closed,Marcelo Glover,2025-08-26,hardware,false
ID-0009,Apud abstergo illum voluptates corporis consuasor.,P3,in_progress,Jillian Conn I,2020-06-09,network,false
ID-0010,Curis territo autus tracto sodalitas curatio.,P3,triaged,Emmett Ziemann,2025-07-11,software,true
ID-0011,Curatio bonus a veritas.,P4,resolved,Arlene Ward,2020-09-18,network,true
ID-0012,Quas supellex amor adeptio vulgus.,P3,open,Inez Heaney,2024-01-20,network,false
ID-0013,Absque tergo degusto voveo denuncio vos tego carpo fugiat.,P4,closed,Fabian Jacobson,2024-11-29,software,false
ID-0014,Cohors caput canis.,P2,open,Guy Terry IV,2021-12-24,access,false
ID-0015,Coadunatio coadunatio commemoro.,P2,resolved,Blaze Vandervort,2024-12-05,network,true
ID-0016,Caritas unde asporto ultra abutor doloremque tenus victus verbera totus.,P4,open,Heidi Little,2024-02-24,hardware,true
ID-0017,Theca tactus similique armarium incidunt alias cotidie.,P3,open,Velda Baumbach,2022-05-09,billing,true
ID-0018,Amitto vomica creber terga conicio quisquam aureus arbustum vigilo.,P4,closed,Anjali Haley,2022-02-19,access,false
ID-0019,Creber apparatus auxilium capio coepi sed paulatim subito conventus.,P4,triaged,Chase Tillman,2024-02-08,access,false
ID-0020,Adsidue pel caput crepusculum aggero.,P2,triaged,Abigayle Casper,2025-07-22,access,false
ID-0021,Talio incidunt vado iste.,P3,open,Erna Rowe,2025-09-17,policy,false
ID-0022,Admiratio cauda delego calamitas tam verto curriculum congregatio vito decretum.,P3,triaged,Ralph Heaney,2025-02-02,software,false
ID-0023,Qui talio tibi tutis crur admoneo cuius sperno defaeco tamquam.,P3,resolved,Karine Greenholt,2022-11-23,hardware,false
ID-0024,Vita curso demo velociter esse suffragium caste dedecor.,P2,triaged,Miss Violet Olson,2024-05-15,network,false
ID-0025,Voluptates nam congregatio socius aegrotatio velit animadverto complectus tot.,P3,triaged,Dr. Evangeline Bogisich,2021-02-02,software,true
ID-0026,Facere rem auxilium beneficium adhuc comminor laborum una.,P4,in_progress,Torrance Gerlach,2024-05-10,access,true
ID-0027,Magni pauci aspernatur crastinus provident volubilis suscipio.,P4,resolved,Matthew Mills,2023-03-04,software,false
ID-0028,Tibi audax ago debeo.,P4,in_progress,Gina Walker,2021-12-19,policy,true
ID-0029,Condico verumtamen absum ipsum taedium deorsum.,P2,closed,Darron Keebler,2020-08-20,billing,true
ID-0030,Despecto tenuis aduro neque.,P2,open,Mrs. Berry Kessler,2020-03-28,software,false
ID-0031,Concedo comedo amissio cornu alveus tener voco.,P4,closed,Edgardo Klocko,2024-07-19,hardware,true
ID-0032,Adstringo depereo verecundia pel in carus conicio ulterius laboriosam dolorum.,P2,open,Levi Paucek V,2020-10-03,network,false
ID-0033,Utroque sodalitas velum qui apostolus collum.,P3,closed,Elissa Roob,2021-05-09,network,true
ID-0034,Delicate arceo vorax bellicus aperte.,P3,resolved,Dr. Allison Kilback,2020-07-09,network,false
