id,title,priority,status,assignee,created_at,category,sla_met
ID-0001,Talio spero basium conservo antea aperio spes.,P4,active,Bradford Mayert,2026-05-10,policy,false
ID-0002,Tametsi ullus circumvenio.,P4,pending,Lamar Rath,2026-05-11,software,false
ID-0003,Arbor tempore desino vere.,P2,closed,Melba Roob,2026-05-12,software,false
ID-0004,Claustrum conspergo maiores casus veritas.,P3,active,Sven Wisozk,2026-05-13,policy,true
ID-0005,Cognomen aliquam arbitro amicitia.,P3,resolved,Maria Boyle,2025-07-17,policy,true
ID-0006,Fuga spiculum statim quo cena adficio defleo vallum.,P3,closed,Mr. Moses Wuckert I,2024-10-16,access,false
ID-0007,Crebro quos curtus debitis colo tempus video vilicus ater utilis.,P4,triaged,Sylvia Reichert,2024-04-25,access,true
ID-0008,Arbustum trans canonicus solio cultellus patior amita acceptus.,P4,triaged,Corrine Olson DVM,2023-01-07,policy,true
ID-0009,Vobis ascit coepi amaritudo cernuus totam crapula alienus congregatio vomica.,P4,in_progress,Rashawn Bernier,2020-09-20,network,false
ID-0010,Turpis decumbo suggero synagoga atavus contra.,P4,open,Yvette Schultz,2024-10-11,network,false
ID-0011,Peccatus quod cur arbor aliquid acceptus.,P4,triaged,Emmanuelle Crooks PhD,2025-03-08,software,false
ID-0012,Absorbeo accusantium ocer deficio.,P3,open,Miss Imogene Feest,2021-06-02,network,false
ID-0013,Caute usque sortitus dedico depopulo bardus.,P4,triaged,Mr. Jeffery Von,2024-04-24,network,true
ID-0014,Delectus cariosus vergo condico.,P4,in_progress,Calvin Boyle,2022-09-06,policy,true
ID-0015,Cultura vester sulum curatio.,P3,open,Edison Brekke Sr.,2023-11-21,hardware,false
ID-0016,Speculum porro vapulus aeternus comptus carpo voveo cribro synagoga.,P4,triaged,Janet Aufderhar DVM,2022-01-18,software,true
ID-0017,Tremo arca artificiose texo praesentium adinventitias quasi colligo.,P3,resolved,Tyler Rutherford,2025-05-21,billing,true
ID-0018,Tremo textilis averto tibi ullam civitas viridis admiratio architecto fugiat.,P3,resolved,Alize Ankunding,2025-08-05,network,false
ID-0019,Id degero deserunt.,P2,resolved,Jaylan O'Conner,2025-03-27,network,true
ID-0020,Eaque aequus quis casus thymbra toties volutabrum desipio deficio tardus.,P2,in_progress,Guy Steuber,2020-07-17,hardware,false
ID-0021,Suppellex ambitus qui constans.,P4,triaged,Mr. Noah Cassin,2020-10-05,software,true
ID-0022,Tempore amiculum dicta torrens video doloribus virga facilis.,P3,closed,Kate Sipes,2021-12-31,software,false
ID-0023,Thalassinus depereo concido amissio.,P3,closed,Josephine Barton,2023-04-07,network,true
ID-0024,Vociferor cotidie causa careo defungo tempore.,P3,resolved,Patti Maggio,2024-06-14,access,false
ID-0025,Utilis conservo suppono comis.,P4,open,Bernadette Welch III,2025-07-16,network,true
ID-0026,Soluta vox celo spectaculum admoneo amplitudo abduco xiphias.,P4,resolved,Chad Hirthe,2023-03-28,access,true
ID-0027,Cunctatio victoria repellendus.,P4,in_progress,Sherry Cummings,2022-12-04,network,false
ID-0028,Harum admitto advenio audeo adduco talus supra.,P2,closed,Doris Funk,2022-06-12,billing,true
ID-0029,Admoveo quidem adopto tubineus.,P3,in_progress,Cory Medhurst,2020-09-11,billing,true
ID-0030,Tertius clibanus appositus arbustum subiungo sed tero viduo stultus.,P2,triaged,Austin Jacobson MD,2020-07-17,billing,true
ID-0031,Cuius admoneo derideo anser cui.,P3,resolved,Mr. Frederick Corwin,2021-02-21,software,true
ID-0032,Animus voro termes cribro nesciunt vere iste ater.,P3,closed,Salma Waelchi,2023-04-07,policy,false
ID-0033,Aspernatur thema suppellex aiunt delectus atavus confero.,P1,in_progress,Madilyn Emard,2025-02-09,access,false
ID-0034,Desino vomica alter cognatus reprehenderit consectetur vestrum aedificium inflammatio.,P3,resolved,Sally Shields,2024-07-28,policy,true
ID-0035,Usque custodia voco defero aranea cribro virgo.,P3,closed,Mr. Benny Hahn,2022-11-29,policy,true
ID-0036,Coruscus cornu est titulus conturbo error.,P4,triaged,Mikel O'Conner,2023-09-16,network,false
ID-0037,Aggredior aut virga cunabula deleo.,P2,open,Jimmie Rodriguez,2021-02-20,software,true
ID-0038,Similique soleo tredecim cura.,P2,triaged,Maynard Leannon,2023-06-01,billing,false
ID-0039,Defungo vinculum speculum advoco deleniti caput delinquo.,P3,in_progress,Kay Ondricka,2025-08-12,billing,true
ID-0040,Talio tres volaticus.,P4,resolved,Derrick Murphy,2024-06-15,hardware,false
ID-0041,Cupio tandem suadeo.,P4,triaged,Jill Paucek I,2025-03-29,access,false
ID-0042,Comburo doloremque vilicus adiuvo consequuntur.,P4,triaged,Holly Ruecker,2025-12-06,software,true
ID-0043,Debeo aro vinitor tenetur censura.,P3,resolved,Jordane Macejkovic,2020-09-08,access,false
ID-0044,Acer supra adduco pariatur fugit.,P4,in_progress,Sabrina Keeling-Hammes I,2023-09-11,software,true
ID-0045,Celo stipes vinum ceno tondeo.,P2,in_progress,Noelia Senger,2025-10-24,policy,false
ID-0046,Angelus eum antepono omnis denuncio quasi abstergo.,P2,in_progress,Harvey Mitchell,2022-06-19,hardware,false
ID-0047,Corrigo acies brevis termes.,P3,open,Bertha Russel PhD,2024-02-06,access,false
ID-0048,Thermae distinctio candidus tutis suscipio vomer armarium caelum beneficium.,P4,open,Ms. Alana Hickle,2025-07-23,access,true
ID-0049,Sortitus valeo degero pectus audio.,P4,closed,Bertha Kuvalis,2022-08-27,software,false
ID-0050,Absorbeo temptatio summisse copiose admoveo temeritas vis.,P3,triaged,Cecilia Predovic,2022-04-27,software,false
ID-0051,Aeternus uxor aetas.,P4,closed,Linda Weissnat,2020-07-08,policy,true
ID-0052,Admiratio aufero texo defetiscor cogito credo.,P4,resolved,Ebony McCullough,2023-07-31,software,false
ID-0053,Angelus aperiam fuga video colligo ustulo tendo.,P3,open,Cloyd Kuvalis,2020-09-05,software,true
ID-0054,Toties astrum titulus suadeo iure subnecto cupiditas.,P2,resolved,Eulalia McGlynn,2022-09-12,policy,false
ID-0055,Varius ceno cunctatio velociter vel stipes.,P4,open,Clifton Johnson,2021-12-03,access,true
ID-0056,Decimus conor tamen varietas templum conatus tam.,P2,open,Miss Dejah Cole,2023-05-02,network,false
ID-0057,Urbs collum suasoria acceptus.,P3,triaged,Mr. Ricardo Pagac,2024-06-12,network,true
ID-0058,Claustrum molestias tamdiu cras cognatus degenero toties vetus impedit.,P4,closed,Miriam Stiedemann,2020-07-14,software,true
ID-0059,Ter aestivus tres cursus patior.,P2,triaged,Porter Fadel II,2020-12-18,network,false
ID-0060,Capio vigilo assumenda.,P2,in_progress,Mr. Wm Blanda II,2023-05-07,hardware,true
